prediction,anomaly_probability
1,0.9089062
1,0.8515063
1,0.8685641
1,0.629732
1,0.6334364
1,0.70777524
1,0.6334364
1,0.8672236
0,0.0019701454
0,0.0019701454
0,0.0019701454
0,0.0019701454
1,0.8672236
1,0.8515063
1,0.8515063
1,0.8501505
1,0.9482026
1,0.8515063
1,0.8515063
1,0.8515063
1,0.8515063
1,0.95694584
1,0.8672236
1,0.6334364
1,0.82216555
1,0.62542933
1,0.629732
1,0.8515063
1,0.952216
1,0.5868489
1,0.8777161
1,0.721285
1,0.7473375
1,0.86475664
1,0.6613295
1,0.62954694
0,0.40304214
0,0.002573666
0,0.002573666
0,0.002573666
1,0.68872124
0,0.002573666
0,0.40304214
0,0.4609708
1,0.6613295
1,0.6547844
0,0.40299088
1,0.6613295
0,0.45361146
1,0.7958845
0,0.40299088
1,0.61561257
0,0.41220883
0,0.41220883
0,0.41220883
1,0.526157
1,0.6613295
0,0.3706621
0,0.3706621
0,0.3706621
0,0.3706621
0,0.3706621
0,0.3706621
0,0.3706621
0,0.3706621
0,0.3706621
1,0.6535745
0,0.40717468
0,0.3052463
0,0.29421255
0,0.21052027
0,0.29421255
1,0.7254605
0,0.21052027
0,0.3305042
0,0.3305042
0,0.3305042
0,0.4330673
0,0.39979014
0,0.39979014
0,0.39979014
0,0.29877868
0,0.39979014
1,0.6830799
1,0.5474146
0,0.39979014
0,0.39979014
0,0.29877868
0,0.29877868
1,0.80754113
0,0.13313155
0,0.26968843
0,0.22118254
0,0.26968843
0,0.26968843
0,0.13313155
0,0.40299088
0,0.43508083
0,0.10474231
1,0.7563648
0,0.10474231
1,0.67021096
0,0.40299088
0,0.18896532
0,0.18896532
0,0.015708877
0,0.015708877
1,0.5947886
0,0.018934302
0,0.018934302
0,0.40774974
0,0.017169386
1,0.61561257
0,0.039835226
0,0.017169386
0,0.039835226
1,0.6934693
0,0.017169386
0,0.017169386
0,0.015893156
0,0.015893156
0,0.015893156
0,0.43508083
0,0.015893156
0,0.015893156
0,0.015893156
0,0.015893156
1,0.55098957
0,0.015893156
0,0.40304214
1,0.7359461
1,0.6613295
0,0.4365637
1,0.5947886
1,0.6613295
1,0.6547844
1,0.6591086
1,0.6591086
1,0.5187148
1,0.6591086
1,0.6613295
1,0.62946
1,0.62946
1,0.6771829
1,0.5768515
1,0.55613667
1,0.55613667
1,0.6535745
0,0.4609708
1,0.6030643
1,0.5768515
1,0.62954694
0,0.43508083
1,0.5606816
1,0.6535745
0,0.4609708
1,0.63167346
1,0.6934693
1,0.5703008
0,0.4043013
1,0.6103957
1,0.5593403
0,0.36702806
0,0.07966268
0,0.07966268
0,0.07966268
0,0.07966268
0,0.07966268
0,0.07966268
0,0.07966268
0,0.07966268
0,0.47185522
0,0.07966268
0,0.07966268
0,0.013692357
0,0.10474231
0,0.18896532
0,0.18896532
1,0.6372961
0,0.12970966
0,0.10474231
0,0.10474231
1,0.67740107
0,0.10474231
0,0.18896532
0,0.28801718
0,0.18896532
0,0.18896532
0,0.18896532
0,0.18896532
0,0.28801718
0,0.28801718
0,0.12970966
0,0.10474231
0,0.18896532
0,0.18896532
0,0.18896532
0,0.18896532
0,0.28801718
0,0.18896532
0,0.18896532
0,0.18896532
0,0.10474231
0,0.018934302
0,0.018934302
1,0.7215352
0,0.018934302
0,0.06469621
0,0.018934302
0,0.018934302
0,0.018934302
0,0.018934302
0,0.06469621
1,0.71523505
1,0.6934693
0,0.40774974
0,0.018934302
1,0.6830799
1,0.748342
0,0.018030733
0,0.018030733
1,0.8697012
1,0.748342
0,0.018030733
1,0.8697012
0,0.018030733
1,0.5151787
0,0.015893156
0,0.015893156
0,0.015893156
0,0.015893156
0,0.040204644
0,0.015893156
0,0.46251577
1,0.71523505
0,0.015893156
0,0.040204644
0,0.16689031
0,0.16689031
1,0.5703008
1,0.6779599
1,0.80754113
1,0.71523505
1,0.9933876
1,0.9933876
1,0.9933876
1,0.9933876
1,0.990998
1,0.99484986
1,0.99484986
1,0.99484986
1,0.99484986
1,0.9755397
1,0.95021087
1,0.5791679
1,0.98369193
1,0.9253039
1,0.9628303
1,0.93093324
1,0.97971785
1,0.91626656
1,0.989772
1,0.8908492
1,0.97150415
1,0.99593216
1,0.97971785
1,0.99273986
1,0.99273986
1,0.99273986
1,0.99273986
1,0.99273986
1,0.93653566
1,0.92636657
1,0.90051115
1,0.93639743
1,0.97971785
1,0.7993318
1,0.60074866
1,0.9433499
1,0.9487169
1,0.97971785
1,0.63086367
1,0.54361683
1,0.55411094
1,0.68229735
1,0.73642755
1,0.65953964
1,0.8903445
0,0.45655826
1,0.93530655
1,0.573899
1,0.6183027
1,0.55388635
1,0.9465727
1,0.5409755
1,0.59936506
1,0.9737698
1,0.9125968
1,0.9274712
1,0.98499125
1,0.9762171
1,0.9882498
1,0.65746135
1,0.90936536
1,0.9559505
1,0.9845222
1,0.7219878
1,0.7940188
1,0.56890786
1,0.6133102
1,0.60233146
1,0.97971785
1,0.96593094
1,0.6559803
1,0.7025893
1,0.651906
1,0.9609832
1,0.68427324
1,0.6454941
1,0.97882986
1,0.62603134
1,0.7178405
1,0.95535594
1,0.99603796
1,0.9585711
1,0.85787773
1,0.91029817
1,0.88130295
1,0.87849224
1,0.96793413
1,0.87849224
1,0.9974687
1,0.98253685
1,0.8899645
1,0.8770896
1,0.96510625
1,0.9655587
1,0.8860189
1,0.9178891
1,0.8401824
1,0.89044076
1,0.9926131
1,0.9912503
1,0.8328966
1,0.8749929
1,0.81054765
1,0.87473327
1,0.9087403
1,0.7715316
1,0.96510625
1,0.95006293
1,0.8770896
1,0.87427443
1,0.7074117
1,0.7074117
1,0.89044076
1,0.7074117
1,0.95048976
1,0.8291185
1,0.9970893
1,0.9970893
1,0.9970893
1,0.9970893
1,0.9970893
1,0.9970893
1,0.9664224
1,0.9253039
1,0.9449044
1,0.84570014
1,0.91750914
1,0.98160326
1,0.9926843
1,0.9926843
1,0.9926843
1,0.9926843
1,0.97971785
1,0.9949556
1,0.9949556
1,0.9949556
1,0.97971785
1,0.98499125
1,0.99525476
1,0.5984249
1,0.5819559
1,0.5819559
1,0.6023214
1,0.55573213
1,0.98895407
1,0.6578672
1,0.51953393
1,0.89809155
1,0.94339055
1,0.9887959
1,0.7569464
1,0.9678993
1,0.58414036
1,0.98536783
1,0.98536783
1,0.6946684
1,0.685873
1,0.80623746
1,0.99369323
1,0.9732617
1,0.83531404
1,0.98433673
1,0.98499125
1,0.83049196
1,0.7435353
1,0.96243227
1,0.80325794
1,0.63124317
1,0.5623167
1,0.9777304
1,0.5013599
1,0.793267
1,0.94780254
1,0.9944593
0,0.46624577
1,0.8435769
1,0.9830692
1,0.9871644
1,0.91776884
1,0.95338404
1,0.9958489
1,0.93530655
1,0.71252674
1,0.9635724
1,0.99102134
1,0.99582005
1,0.9828966
1,0.97971785
1,0.93530655
1,0.9351076
1,0.7831806
1,0.9949949
1,0.9957445
1,0.9854263
1,0.9873985
1,0.99447566
1,0.9831957
1,0.9831957
1,0.60074866
1,0.99202335
1,0.93530655
1,0.99593216
1,0.91265506
1,0.98554534
1,0.6854599
1,0.84570014
1,0.97971785
1,0.98211575
1,0.99088484
1,0.91155285
1,0.97971785
1,0.97971785
1,0.9253039
1,0.9253039
1,0.9960353
1,0.94414485
1,0.91750914
1,0.9945299
1,0.9978278
1,0.9978278
1,0.9978278
1,0.9987393
1,0.9987393
1,0.9987393
1,0.9987393
1,0.9987393
1,0.9987393
1,0.9987393
1,0.9987393
1,0.9320071
1,0.9320071
1,0.9942768
1,0.9942768
1,0.9942768
1,0.9942768
1,0.80045706
1,0.82090497
1,0.9253039
1,0.9997861
1,0.9998362
1,0.9998362
1,0.9998362
1,0.9997861
1,0.9997861
1,0.9997861
1,0.9997861
1,0.9997861
1,0.9997861
1,0.9998554
1,0.97971785
1,0.9998554
1,0.9624642
1,0.9998554
1,0.84570014
1,0.9998554
1,0.96245956
1,0.9869804
1,0.9998554
1,0.9956974
1,0.9998554
1,0.8777161
1,0.99985886
1,0.9449044
1,0.9843461
1,0.7713545
1,0.84570014
1,0.957196
1,0.97971785
1,0.98518187
1,0.9953687
1,0.9953687
1,0.98518187
1,0.9481161
1,0.98518187
1,0.9829943
1,0.98518187
1,0.9704554
1,0.97971785
1,0.98518187
1,0.98259073
1,0.99817777
1,0.99369323
1,0.99817777
1,0.99369323
1,0.9974934
1,0.99369323
1,0.9974934
1,0.99369323
1,0.9843461
1,0.9982829
1,0.71805185
1,0.9982829
1,0.9834062
1,0.9953863
1,0.9953863
1,0.9274712
1,0.9953863
1,0.8999847
1,0.9953863
1,0.69746417
1,0.9953863
1,0.9274712
1,0.98759484
1,0.9953863
1,0.9274712
1,0.9953863
1,0.9763315
1,0.96921
1,0.9995578
1,0.98579377
1,0.9708439
1,0.9995578
1,0.83744913
1,0.9995578
1,0.98621714
1,0.998752
1,0.99484175
1,0.998752
1,0.9274712
1,0.998752
1,0.9976312
1,0.998752
1,0.9433499
1,0.998752
1,0.5636647
1,0.93530655
1,0.998752
1,0.64556825
1,0.998752
1,0.98530304
1,0.998752
1,0.998752
1,0.9939949
1,0.998752
1,0.9482026
1,0.998752
1,0.9858768
1,0.99374384
1,0.998752
1,0.63449347
1,0.63914555
1,0.63914555
1,0.99411976
1,0.81650925
1,0.92636657
1,0.8629191
1,0.998752
1,0.9925258
1,0.9982829
1,0.9982829
1,0.96168786
1,0.9982829
1,0.92636657
1,0.9760265
1,0.71523505
1,0.57724607
1,0.9974934
1,0.57724607
1,0.59406334
1,0.9974934
1,0.639453
1,0.8869115
1,0.97971785
1,0.99662566
1,0.9342074
1,0.79504293
1,0.9974934
1,0.84570014
1,0.7494095
1,0.9974934
1,0.9657251
1,0.9974934
1,0.9737698
1,0.99662566
1,0.96808773
1,0.99662566
1,0.97971785
1,0.99279433
1,0.97624654
1,0.97624654
1,0.97624654
1,0.98499125
1,0.97624654
1,0.97971785
1,0.97624654
1,0.97971785
1,0.7064852
1,0.9982829
1,0.9982829
1,0.9982829
1,0.98499125
1,0.9982829
1,0.99484175
1,0.9982829
1,0.9967974
1,0.9982829
1,0.9780727
1,0.998752
1,0.9274712
1,0.998752
1,0.98619777
1,0.998752
1,0.9675385
1,0.998752
1,0.97971785
1,0.998752
1,0.9923233
1,0.998752
1,0.9150713
1,0.998752
1,0.5676052
1,0.99662566
1,0.97971785
1,0.99662566
1,0.51608616
1,0.9253401
1,0.99817777
1,0.96118826
1,0.998752
0,0.4955079
1,0.998752
1,0.61332625
1,0.998752
1,0.94980794
1,0.9974934
1,0.9974934
1,0.94479775
1,0.9449044
1,0.8468513
1,0.9840534
1,0.9969414
1,0.93530655
1,0.9969414
1,0.9118607
1,0.78140604
1,0.9969414
1,0.8777161
1,0.9992822
1,0.97971785
1,0.9992822
1,0.98706007
1,0.9992822
1,0.9959181
1,0.9992822
1,0.9778431
1,0.9992822
1,0.9856791
1,0.9992822
1,0.9710343
1,0.8503768
1,0.8866699
1,0.84570014
1,0.9834062
1,0.9992822
1,0.98579377
1,0.9992822
1,0.9933876
1,0.9933876
1,0.998752
1,0.9933876
1,0.998752
1,0.9933876
1,0.9841323
1,0.990998
1,0.990998
1,0.9841323
1,0.99484986
1,0.9982829
1,0.8005345
1,0.99817777
1,0.9334245
1,0.99817777
1,0.956486
1,0.9714726
1,0.998752
1,0.98256266
1,0.9744805
1,0.98912877
1,0.9974934
1,0.99761873
1,0.78424007
1,0.9974934
1,0.9974934
1,0.9274712
1,0.99817777
1,0.8504123
1,0.99817777
1,0.9579643
1,0.998752
1,0.998752
1,0.97971785
1,0.998752
1,0.95966804
1,0.9992822
1,0.9274712
1,0.9992822
1,0.7939077
1,0.9992822
1,0.94263065
1,0.98621714
1,0.9974934
1,0.9816289
1,0.9974934
1,0.9953687
1,0.9974934
1,0.9953687
1,0.948765
1,0.98499125
1,0.88949984
1,0.96310896
1,0.998752
1,0.9404716
1,0.998752
1,0.96310896
1,0.97971785
1,0.99817777
1,0.9869501
1,0.99817777
1,0.9075348
1,0.94306016
1,0.99817777
1,0.99273986
1,0.99273986
1,0.99273986
1,0.9993363
1,0.9518055
1,0.9668249
1,0.9993363
1,0.91265506
1,0.9982829
1,0.9619704
1,0.94952637
1,0.9982829
1,0.5059783
1,0.9982829
0,0.49077874
1,0.9433499
1,0.9982829
1,0.5213251
1,0.9482026
1,0.99817777
1,0.93315345
1,0.99817777
1,0.97971785
1,0.99817777
0,0.45717424
1,0.99817777
1,0.9615534
1,0.95482886
1,0.998752
1,0.58928394
1,0.998752
0,0.4190757
1,0.998752
1,0.5796757
1,0.998752
1,0.9990231
1,0.9895029
1,0.9990231
0,0.43944907
0,0.47749504
0,0.43944907
0,0.47704118
1,0.9843461
1,0.97971785
1,0.9990231
1,0.9843461
1,0.9990231
1,0.9990231
1,0.97971785
1,0.9706143
1,0.9563023
1,0.98530304
1,0.9841323
1,0.97971785
1,0.9841323
1,0.9825764
1,0.9993363
1,0.9927221
1,0.9993363
1,0.7876915
1,0.9993363
1,0.69074595
1,0.6895819
1,0.9982829
1,0.6864611
1,0.9982829
1,0.5506942
1,0.9982829
1,0.78346366
1,0.9982829
1,0.97971785
1,0.9974934
1,0.6895819
1,0.9974934
1,0.70209813
1,0.9974934
1,0.99189997
1,0.6073318
1,0.9974934
1,0.50973296
1,0.9974934
1,0.50973296
1,0.7857028
1,0.5762875
1,0.99817777
1,0.67400867
1,0.998752
1,0.88665694
1,0.998752
1,0.7620918
1,0.998752
1,0.998752
1,0.8698421
1,0.998752
1,0.8899645
1,0.998752
1,0.9030367
1,0.998752
1,0.8853594
1,0.998752
1,0.81714755
1,0.89025337
1,0.998752
1,0.97971785
1,0.86909336
